doujinshiId,doujinshiName,themeAlias,coverPicUrl,tag,type,sellStatus,sellStatusCode,eventList,userID,nickname,circleID,circleName,authorList,hotCount
609942,碎屑,原创,/2023/10/d48f34c6-2033-4552-b2e7-61c060be9c6c.jpeg,原创|原创专辑|虚拟歌手,CD,余量发放,0,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 1398224, 'circleName': '卧室四格', 'positionName': '卧室四格昏睡驿站', 'position': ''}]",2570392,不鱼,1686396,流星空间站,"[{'authorId': 2570392, 'authorName': '不鱼'}]",52
609369,流星空间站,原创,/2024/8/abf44ade-e7b6-4d5b-87fb-fa09704f3f35.jpeg,原创|原创专辑|虚拟歌手,CD,余量发放,0,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 1398224, 'circleName': '卧室四格', 'positionName': '卧室四格昏睡驿站', 'position': ''}]",2570392,不鱼,1686396,流星空间站,"[{'authorId': 2549548, 'authorName': '沉林川'}, {'authorId': 2570392, 'authorName': '不鱼'}]",135
607319,「路上风景」言和十周年纪念周边套组,Vsinger,/2023/10/04cc6e63-3a46-4a8f-bed1-75224b10b998.png,Vsinger|言和,图文合志,仅供现场,4,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 182071, 'circleName': '年年', 'positionName': '年年', 'position': ''}]",1166613,寂年,182071,年年,"[{'authorId': 1166613, 'authorName': '寂年'}]",115
592402,【言和原创专辑】ELOHIM 专辑,原创,/2023/9/dab76df1-598b-45bd-99d6-30d39a1b6dd3.png,VOCALOID|Vsinger|原创|秘宝旅人|虚拟歌手|言和,CD,余量发放,0,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 1398224, 'circleName': '卧室四格', 'positionName': '卧室四格昏睡驿站', 'position': ''}]",1233946,-Duoer-,249358,秘宝旅人,"[{'authorId': 1233946, 'authorName': '-Duoer-'}]",78
580762,蓝色神明镭射票,洛天依,/2023/10/3667233c-182e-4dd2-916e-18680b2f4615.png,洛天依,其他作品集,余量发放,0,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 840100, 'circleName': 'CHOW在这里听你唱歌', 'positionName': '星星相依', 'position': ''}]",1831093,CHOW,840100,CHOW在这里听你唱歌,"[{'authorId': 1831093, 'authorName': 'CHOW'}]",29
579827,洛天依十二生肖月历,洛天依,/2024/3/3bfe6a7d-cac1-464b-935b-1079487ab21a.png,洛天依,图集,余量发放,0,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 840100, 'circleName': 'CHOW在这里听你唱歌', 'positionName': '星星相依', 'position': ''}]",1831093,CHOW,840100,CHOW在这里听你唱歌,"[{'authorId': 1831093, 'authorName': 'CHOW'}]",43
544306,《卧室四格》 言和专辑 2023,vsinger,/2023/7/1620af1b-0e93-4585-ac46-9087e12b3c08.png,vocaloid|vsinger|原创音乐|虚拟歌姬|言和,CD,余量发放,0,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 1398224, 'circleName': '卧室四格', 'positionName': '卧室四格昏睡驿站', 'position': ''}]",86918,毛腿猪兔子,1398224,卧室四格,"[{'authorId': 86918, 'authorName': '毛腿猪兔子'}, {'authorId': 2570392, 'authorName': '不鱼'}]",68
517232,《Mint summer》言和十周年图集,Vsinger,/2024/3/a3414ca7-fccc-423d-add5-4eca8505f943.jpeg,Vsinger|言和,图集,策划中,3,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 741173, 'circleName': '路边的野草不要踩', 'positionName': '薄荷盐水售卖处', 'position': ''}]",1730513,画中小鸟,741173,路边的野草不要踩,"[{'authorId': 1730513, 'authorName': '画中小鸟'}]",161
494763,李选,平行四界,/2023/4/c253dca7-738e-465c-9b51-4187a71355b2.png,平行四界|五维介质|李迪克,小说,仅供现场,4,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 103914, 'circleName': 'Jungle社', 'positionName': '烤红薯社', 'position': ''}]",1088254,素豺,103914,Jungle社,"[{'authorId': 1088254, 'authorName': '素豺'}]",125
441100,依梦初寻,VOCALOID,/2023/10/d250dcf3-fb69-449e-b795-0bedbeb37dbf.png,VOCALOID|Vsinger|乐正绫|初音未来|洛天依,其他作品集,仅供现场,4,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 28632, 'circleName': '烟火Project', 'positionName': '缘宵社', 'position': ''}]",1087031,GreyBK,102697,我TM贴爆,"[{'authorId': 1012665, 'authorName': 'ssYanhuo'}, {'authorId': 1087031, 'authorName': 'GreyBK'}]",38
342905,light star,vsinger,/2023/10/49e5b9a2-1c08-4453-9e4a-36dcb807cb4a.png,vsinger,图集,仅供现场,4,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 103914, 'circleName': 'Jungle社', 'positionName': '烤红薯社', 'position': ''}]",1088254,素豺,103914,Jungle社,"[{'authorId': 1088254, 'authorName': '素豺'}]",45
289065,战音lorra无料ep,vocaloid,/2021/5/740a7c93-a239-46d9-a605-f4e538906760.png,vocaloid|战音lorra,CD,仅供现场,4,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 103914, 'circleName': 'Jungle社', 'positionName': '烤红薯社', 'position': ''}]",1088254,素豺,103914,Jungle社,"[{'authorId': 1088254, 'authorName': '素豺'}]",62
281226,战音lorra无料本《木卫四》,vocaloid,/2023/10/60647ee0-f484-4baa-8cb9-af3d090ec1ac.png,vocaloid|战音lorra,图集,仅供现场,4,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 103914, 'circleName': 'Jungle社', 'positionName': '烤红薯社', 'position': ''}]",1088254,素豺,103914,Jungle社,"[{'authorId': 1088254, 'authorName': '素豺'}]",72
247707,《因你》,vocaloid,/2023/10/bd73ee4a-0260-4b5b-bb3c-d4ccd4feb0ad.png,vocaloid|vsinger|乐正绫|洛天依|言和,图集,余量发放,0,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 103914, 'circleName': 'Jungle社', 'positionName': '烤红薯社', 'position': ''}]",1088254,素豺,103914,Jungle社,"[{'authorId': 1088254, 'authorName': '素豺'}]",149
173381,洛天依only专辑『唯Yi』,Vocaloid  洛天依,/2019/2/27/f2b3e17e-6b07-4181-a1d3-8b9095fbba04.jpg,,CD,策划中,3,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 5096, 'circleName': '黑Nya社', 'positionName': '黑Nya社', 'position': ''}]",5043,云川娘,5096,黑Nya社,"[{'authorId': 5043, 'authorName': '云川娘'}]",98
118681,乐正绫only专辑 Ling听,VOCALOID,/2017/8/14/e4153fae-f5db-48f1-b155-841ab90c5781.png,,CD,线上预约,1,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 5096, 'circleName': '黑Nya社', 'positionName': '黑Nya社', 'position': ''}]",5043,云川娘,5096,黑Nya社,[],73
730039,洛天依周边选集·清川,洛天依,/2023/10/25afceeb-f1b9-41cf-a845-69088f614981.png,洛天依,图集,已告罄,2,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 840100, 'circleName': 'CHOW在这里听你唱歌', 'positionName': '星星相依', 'position': ''}]",1831093,CHOW,840100,CHOW在这里听你唱歌,"[{'authorId': 1831093, 'authorName': 'CHOW'}]",62
730048,洛天依周边选集·钛钛乐,洛天依,/2024/3/1663b6f4-7e38-42a9-a516-c7bb712e178f.png,洛天依,图集,已告罄,2,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 840100, 'circleName': 'CHOW在这里听你唱歌', 'positionName': '星星相依', 'position': ''}]",1831093,CHOW,840100,CHOW在这里听你唱歌,"[{'authorId': 1831093, 'authorName': 'CHOW'}]",55
442662,#言和2023元宵24h#纪念无料册,Vsinger,/2023/4/62490c38-2235-48ad-813e-3fb729dd5122.png,Vsinger|言和,图文合志,已告罄,2,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 182071, 'circleName': '年年', 'positionName': '年年', 'position': ''}]",1166613,寂年,182071,年年,"[{'authorId': 1166613, 'authorName': '寂年'}]",141
